State,Region,Variety,Trait
Karnataka,Southern Maidan (Mandya/Mysuru),Mandya Vijaya,High yield; Good cooking quality
Karnataka,Southern Maidan (Mandya/Mysuru),Thanu (KMP 101),Early maturity; Blast tolerant
Karnataka,Southern Maidan (Mandya/Mysuru),Rajamudi,Traditional red rice; Nutrient rich
Karnataka,Northern Dry (Raichur/Koppal),Sona Masuri (BPT 5204),Premium fine grain; Highly popular
Karnataka,Hill Zone (Shimoga/Hassan),Intan,Resistant to blast; Suitable for hilly areas
Karnataka,Coastal (Udupi/Mangaluru),MO-4,Salinity tolerant; Red kernel
Andhra Pradesh,Coastal AP,Swarna (MTU 7029),High yield; Widely adapted
Andhra Pradesh,Godavari Belt,Cottondora Sannalu (MTU 1010),Pest resistant; Short duration
Telangana,Deccan Plateau,Telangana Sona (RNR 15048),Low glycemic index; Fine grain
Tamil Nadu,Cauvery Delta,ADT 43,Short duration; High yield
Tamil Nadu,Cauvery Delta,Ponni,Popular fine grain; Good cooking quality
Kerala,Palakkad/Kuttanad,Uma,Red rice; Disease resistant
Kerala,Palakkad/Kuttanad,Jyothi,Short duration; Red kernel
Punjab,Indo-Gangetic Plains,Pusa Basmati 1121,Extra long grain; Aromatic
Punjab,Indo-Gangetic Plains,PR 126,Short duration; High biomass
Haryana,Indo-Gangetic Plains,PB 1509,Early maturing Basmati
West Bengal,Lower Gangetic Plains,Gobindabhog,Short grain; Highly aromatic
West Bengal,Lower Gangetic Plains,Swarna,High yielding; Rainfed areas
Odisha,Eastern Ghats,Pooja,Late maturing; Submergence tolerant
Odisha,Coastal,Naveen,Early maturing; High yielding
Uttar Pradesh,Tarai Region,Kalanamak,Aromatic; Black husk; High iron
Assam,Brahmaputra Valley,Ranjit,Long duration; High yielding
Assam,Brahmaputra Valley,Joha,Aromatic; Short grain
